phase_convention,training_seed,phase,exact,coexact,harmonic,coexact_minus_exact
fixed,598,pre,0.3389305918595365,0.5116611226373716,0.1494082855030919,0.17273053077783512
fixed,598,transition,0.35474452144775687,0.5180324347400482,0.12722304381219499,0.16328791329229136
fixed,598,post,0.6405960228443762,0.21972350531022664,0.13968047184539711,-0.42087251753414956
fixed,599,pre,0.38373789395685415,0.4247056232155444,0.1915564828276014,0.040967729258690244
fixed,599,transition,0.3222600201698144,0.37699778952560087,0.3007421903045847,0.05473776935578645
fixed,599,post,0.4976340154404653,0.3198059411621247,0.18256004339741003,-0.17782807427834063
fixed,777,pre,0.3777916977159553,0.4449369456118932,0.17727135667215158,0.0671452478959379
fixed,777,transition,0.3118200972656506,0.4475125427611026,0.24066735997324687,0.135692445495452
fixed,777,post,0.3742025904685671,0.40052736138834044,0.22527004814309248,0.026324770919773366
fixed,1001,pre,0.3512568837965922,0.4997073229981295,0.14903579320527824,0.14845043920153728
fixed,1001,transition,0.3923568287384165,0.33278636291662467,0.27485680834495896,-0.05957046582179182
fixed,1001,post,0.5233233261150755,0.28140674628704465,0.19526992759787984,-0.24191657982803083
fixed,2027,pre,0.3592882325786269,0.47923773124888175,0.16147403617249126,0.11994949867025484
fixed,2027,transition,0.3034515227626705,0.507783755473166,0.18876472176416348,0.2043322327104955
fixed,2027,post,0.5128518203456792,0.3505945225618341,0.13655365709248668,-0.16225729778384512
fixed,3141,pre,0.2741357091598548,0.5702655657174401,0.15559872512270503,0.29612985655758534
fixed,3141,transition,0.39355698889069357,0.4489020095127385,0.15754100159656795,0.05534502062204494
fixed,3141,post,0.586021437516596,0.29598042271605873,0.11799813976734524,-0.29004101480053723
fixed,4096,pre,0.3310433445614397,0.48611907867483856,0.18283757676372173,0.15507573411339887
fixed,4096,transition,0.29569313611266085,0.41782665005302827,0.2864802138343109,0.12213351394036742
fixed,4096,post,0.38550363827019135,0.31417348786137084,0.30032287386843787,-0.07133015040882051
fixed,8080,pre,0.3235230448848664,0.484585336168782,0.19189161894635154,0.16106229128391564
fixed,8080,transition,0.22359210799411802,0.5537879325322869,0.22261995947359522,0.33019582453816887
fixed,8080,post,0.2609262646532062,0.4680593701144662,0.27101436523232764,0.20713310546126001
event_aligned,598,pre,0.3389305918595365,0.5116611226373716,0.1494082855030919,0.17273053077783512
event_aligned,598,transition,0.35474452144775687,0.5180324347400482,0.12722304381219499,0.16328791329229136
event_aligned,598,post,0.6405960228443762,0.21972350531022664,0.13968047184539711,-0.42087251753414956
event_aligned,599,pre,0.3807817239161738,0.3953022845576196,0.22391599152620653,0.014520560641445801
event_aligned,599,transition,0.3738219864589072,0.398547409772752,0.2276306037683408,0.024725423313844808
event_aligned,599,post,0.4831514668299923,0.2938383470805376,0.22301018608947,-0.18931311974945475
event_aligned,777,pre,0.3725534910515583,0.40019146696213814,0.22725504198630345,0.027637975910579815
event_aligned,777,transition,0.20961553866759494,0.6392070286771484,0.1511774326552566,0.42959149000955343
event_aligned,777,post,0.4547223118787684,0.29977957855951043,0.24549810956172113,-0.15494273331925795
event_aligned,1001,pre,0.36242078964716357,0.47048366757290905,0.16709554277992741,0.10806287792574548
event_aligned,1001,transition,0.4011412098308971,0.34653185195851205,0.25232693821059093,-0.05460935787238508
event_aligned,1001,post,0.5738521639344535,0.2100855352191121,0.21606230084643438,-0.3637666287153414
event_aligned,2027,pre,0.3592882325786269,0.47923773124888175,0.16147403617249126,0.11994949867025484
event_aligned,2027,transition,0.3034515227626705,0.507783755473166,0.18876472176416348,0.2043322327104955
event_aligned,2027,post,0.5128518203456792,0.3505945225618341,0.13655365709248668,-0.16225729778384512
event_aligned,3141,pre,0.2741357091598548,0.5702655657174401,0.15559872512270503,0.29612985655758534
event_aligned,3141,transition,0.39355698889069357,0.4489020095127385,0.15754100159656795,0.05534502062204494
event_aligned,3141,post,0.586021437516596,0.29598042271605873,0.11799813976734524,-0.29004101480053723
event_aligned,4096,pre,0.33181575386521417,0.46134368600080916,0.20684056013397664,0.129527932135595
event_aligned,4096,transition,0.33581838663288544,0.4294546848660927,0.23472692850102186,0.09363629823320724
event_aligned,4096,post,0.35100109073668134,0.2603094255830991,0.3886894836802195,-0.09069166515358223
event_aligned,8080,pre,0.2924925609835993,0.48746718167379655,0.22004025734260413,0.19497462069019722
event_aligned,8080,transition,0.20287256566246312,0.630467633308019,0.1666598010295179,0.4275950676455559
event_aligned,8080,post,0.2779581581768245,0.4105133707307922,0.31152847109238324,0.13255521255396768
